hour of year	Mass Flow Rate	TsupplyDhw
h	kg/h	ºC
0	0	45
0.0333	0	45
0.0667	0	45
0.1	0	45
0.1333	0	45
0.1667	0	45
0.2	0	45
0.2333	0	45
0.2667	0	45
0.3	0	45
0.3333	0	45
0.3667	0	45
0.4	0	45
0.4333	0	45
0.4667	0	45
0.5	0	45
0.5333	0	45
0.5667	0	45
0.6	0	45
0.6333	0	45
0.6667	0	45
0.7	0	45
0.7333	0	45
0.7667	0	45
0.8	0	45
0.8333	0	45
0.8667	0	45
0.9	0	45
0.9333	0	45
0.9667	0	45
1	0	45
1.0333	0	45
1.0667	0	45
1.1	0	45
1.1333	0	45
1.1667	0	45
1.2	0	45
1.2333	0	45
1.2667	0	45
1.3	0	45
1.3333	0	45
1.3667	0	45
1.4	0	45
1.4333	0	45
1.4667	0	45
1.5	0	45
1.5333	0	45
1.5667	0	45
1.6	0	45
1.6333	0	45
1.6667	0	45
1.7	0	45
1.7333	0	45
1.7667	0	45
1.8	0	45
1.8333	0	45
1.8667	0	45
1.9	0	45
1.9333	0	45
1.9667	0	45
2	0	45
2.0333	0	45
2.0667	0	45
2.1	0	45
2.1333	0	45
2.1667	0	45
2.2	0	45
2.2333	0	45
2.2667	0	45
2.3	0	45
2.3333	0	45
2.3667	0	45
2.4	0	45
2.4333	0	45
2.4667	0	45
2.5	0	45
2.5333	0	45
2.5667	0	45
2.6	0	45
2.6333	0	45
2.6667	0	45
2.7	0	45
2.7333	0	45
2.7667	0	45
2.8	0	45
2.8333	0	45
2.8667	0	45
2.9	0	45
2.9333	0	45
2.9667	0	45
3	0	45
3.0333	0	45
3.0667	0	45
3.1	0	45
3.1333	0	45
3.1667	0	45
3.2	0	45
3.2333	0	45
3.2667	0	45
3.3	0	45
3.3333	0	45
3.3667	0	45
3.4	0	45
3.4333	0	45
3.4667	0	45
3.5	0	45
3.5333	0	45
3.5667	0	45
3.6	0	45
3.6333	0	45
3.6667	0	45
3.7	0	45
3.7333	0	45
3.7667	0	45
3.8	0	45
3.8333	0	45
3.8667	0	45
3.9	0	45
3.9333	0	45
3.9667	0	45
4	0	45
4.0333	0	45
4.0667	0	45
4.1	0	45
4.1333	0	45
4.1667	0	45
4.2	0	45
4.2333	0	45
4.2667	0	45
4.3	0	45
4.3333	0	45
4.3667	0	45
4.4	0	45
4.4333	0	45
4.4667	0	45
4.5	0	45
4.5333	0	45
4.5667	0	45
4.6	0	45
4.6333	0	45
4.6667	0	45
4.7	0	45
4.7333	0	45
4.7667	0	45
4.8	0	45
4.8333	0	45
4.8667	0	45
4.9	0	45
4.9333	0	45
4.9667	0	45
5	0	45
5.0333	0	45
5.0667	0	45
5.1	0	45
5.1333	0	45
5.1667	0	45
5.2	0	45
5.2333	0	45
5.2667	0	45
5.3	0	45
5.3333	0	45
5.3667	0	45
5.4	0	45
5.4333	0	45
5.4667	0	45
5.5	0	45
5.5333	0	45
5.5667	0	45
5.6	0	45
5.6333	0	45
5.6667	0	45
5.7	0	45
5.7333	0	45
5.7667	0	45
5.8	0	45
5.8333	0	45
5.8667	0	45
5.9	0	45
5.9333	0	45
5.9667	0	45
6	0	45
6.0333	0	45
6.0667	0	45
6.1	0	45
6.1333	0	45
6.1667	0	45
6.2	0	45
6.2333	0	45
6.2667	0	45
6.3	0	45
6.3333	0	45
6.3667	0	45
6.4	0	45
6.4333	0	45
6.4667	0	45
6.5	0	45
6.5333	0	45
6.5667	0	45
6.6	0	45
6.6333	0	45
6.6667	0	45
6.7	0	45
6.7333	0	45
6.7667	0	45
6.8	0	45
6.8333	0	45
6.8667	0	45
6.9	0	45
6.9333	0	45
6.9667	0	45
7	0	45
7.0333	240	45
7.0667	0	45
7.1	0	45
7.1333	0	45
7.1667	0	45
7.2	0	45
7.2333	0	45
7.2667	600	45
7.3	600	45
7.3333	0	45
7.3667	0	45
7.4	0	45
7.4333	0	45
7.4667	0	45
7.5	0	45
7.5333	240	45
7.5667	0	45
7.6	0	45
7.6333	0	45
7.6667	0	45
7.7	0	45
7.7333	0	45
7.7667	0	45
7.8	0	45
7.8333	0	45
7.8667	0	45
7.9	0	45
7.9333	0	45
7.9667	0	45
8	0	45
8.0333	240	45
8.0667	0	45
8.1	0	45
8.1333	0	45
8.1667	0	45
8.2	0	45
8.2333	0	45
8.2667	240	45
8.3	0	45
8.3333	0	45
8.3667	0	45
8.4	0	45
8.4333	0	45
8.4667	0	45
8.5	0	45
8.5333	240	45
8.5667	0	45
8.6	0	45
8.6333	0	45
8.6667	0	45
8.7	0	45
8.7333	0	45
8.7667	240	45
8.8	0	45
8.8333	0	45
8.8667	0	45
8.9	0	45
8.9333	0	45
8.9667	0	45
9	0	45
9.0333	240	45
9.0667	0	45
9.1	0	45
9.1333	0	45
9.1667	0	45
9.2	0	45
9.2333	0	45
9.2667	0	45
9.3	0	45
9.3333	0	45
9.3667	0	45
9.4	0	45
9.4333	0	45
9.4667	0	45
9.5	0	45
9.5333	240	45
9.5667	0	45
9.6	0	45
